Crop,SeedVariety,Season,SoilType,Soil_pH,WaterRequirement,TemperatureC,RainfallMM,HumidityPercent,State,SowingMonth,HarvestMonth,HarvestTimeDays,CommonDisease,PestControl,FertilizerType,FertilizerKgPerAcre,AverageMarketPriceINR_perKg, 
Aloe Vera,Pusa Drumhead,Zaid,Sandy Loam,7.5,Low,38,364,40,Gujarat,December,October,199,Bacterial Blight,Crop Rotation,Nitrogen,29,86,
Aloe Vera,Kufri Chipsona 1,Annual,Clayey,7.4,Medium,24,2189,89,West Bengal,October,July,111,Wilt,Integrated Pest Management,DAP,60,68,
Aloe Vera,Pusa Basmati 1121,Rabi,Sandy Loam,6.2,Medium,19,1912,53,Kerala,May,May,173,Rust,Crop Rotation,DAP,39,15,
Aloe Vera,JL 24,Zaid,Clayey,6.3,Low,31,467,58,Haryana,July,December,155,Leaf Spot,Chemical Pesticide,NPK,37,76,
Aloe Vera,TAG 24,Annual,Clayey,7.6,Medium,31,415,50,Bihar,January,July,188,Blight,Neem Oil Spray,Compost,20,83,
Aloe Vera,Japanese White,Rabi,Alluvial,5.7,Medium,26,1346,56,Karnataka,August,July,95,Rust,Crop Rotation,NPK,61,48,
Aloe Vera,TMV 7,Zaid,Clayey,6.3,Low,19,1984,90,Telangana,May,August,169,Mildew,Neem Oil Spray,Compost,36,93,
Aloe Vera,Ganga 5,Annual,Alluvial,6.4,High,23,2138,64,Haryana,August,December,90,Wilt,Integrated Pest Management,DAP,48,74,
Aloe Vera,GPU 45,Rabi,Sandy Loam,5.7,Low,34,490,68,Odisha,June,May,96,Bacterial Blight,Crop Rotation,Nitrogen,69,26,
Aloe Vera,GHB 558,Zaid,Black Soil,6.8,High,24,1581,68,Rajasthan,May,January,76,Bacterial Blight,Neem Oil Spray,Compost,25,46,
Apple,RCH2 Bt,Annual,Loamy,6.2,Medium,29,2025,42,Kerala,September,February,60,Wilt,Neem Oil Spray,DAP,117,97,
Apple,MTU1010,Rabi,Black Soil,5.7,High,25,621,80,Telangana,March,November,67,Wilt,Chemical Pesticide,DAP,120,106,
Apple,ADT 43,Kharif,Clayey,6.8,Low,20,621,66,Bihar,August,April,122,Leaf Spot,Chemical Pesticide,Compost,31,115,
Apple,GPU 28,Kharif,Alluvial,6.3,Medium,23,482,47,Kerala,July,October,179,Blight,Neem Oil Spray,DAP,81,105,
Apple,PL 639,Zaid,Loamy,5.9,Medium,27,1080,52,Odisha,January,September,117,Wilt,Neem Oil Spray,NPK,21,107,
Apple,WH 1105,Annual,Alluvial,5.6,Low,24,950,40,Haryana,November,April,184,Rust,Integrated Pest Management,Potash,44,83,
